





























"Index,""SMU-1 Time (s)"",""SMU-1 Voltage (V)"",""SMU-1 Current (A)"""
"1,""0"",""1.49995231628418"",""0.00400562165305018"""
"2,""0.08265274"",""1.49995088577271"",""0.00400613155215979"""
"3,""0.16529498"",""1.49995243549347"",""0.00400656694546342"""
"4,""0.24792626"",""1.49995255470276"",""0.00400671688839793"""
"5,""0.33056554"",""1.49995052814484"",""0.00400737719610333"""
"6,""0.4132043"",""1.4999520778656"",""0.00400759465992451"""
"7,""0.49583622"",""1.49995124340057"",""0.00400800118222833"""
"8,""0.57848302"",""1.49995136260986"",""0.00400862516835332"""
"9,""0.66112762"",""1.49995195865631"",""0.00400864565744996"""
"10,""0.74377"",""1.49995112419128"",""0.00400922959670424"""
"11,""0.82641296"",""1.49995028972626"",""0.00400967197492719"""
"12,""0.90905706"",""1.49995136260986"",""0.00401009293273091"""
"13,""0.9916991"",""1.49995136260986"",""0.00400994764640927"""
"14,""1.07433814"",""1.49995279312134"",""0.00401016883552074"""
"15,""1.15697606"",""1.49995195865631"",""0.00401042960584164"""
"16,""1.23960786"",""1.49995052814484"",""0.00401076069101691"""
"17,""1.32224556"",""1.4999520778656"",""0.00401090597733855"""
"18,""1.40488494"",""1.4999520778656"",""0.00401142612099648"""
"19,""1.48752476"",""1.49995076656342"",""0.00401212694123387"""
"20,""1.57016206"",""1.49995160102844"",""0.004012162797153"""
"21,""1.6527922"",""1.49995231628418"",""0.00401220889762044"""
"22,""1.73542402"",""1.49995112419128"",""0.00401262333616614"""
"23,""1.81805252"",""1.49995124340057"",""0.00401264755055308"""
"24,""1.90068442"",""1.49995076656342"",""0.0040130615234375"""
"25,""1.98333168"",""1.49995112419128"",""0.00401343917474151"""
"26,""2.0659684"",""1.49995076656342"",""0.0040136007592082"""
"27,""2.14859658"",""1.49995088577271"",""0.00401365291327238"""
"28,""2.23122624"",""1.49995088577271"",""0.00401408039033413"""
"29,""2.31385734"",""1.49995052814484"",""0.00401421030983329"""
"30,""2.39650026"",""1.49995028972626"",""0.0040145693346858"""
"31,""2.47913376"",""1.49995172023773"",""0.00401462335139513"""
"32,""2.5617742"",""1.49995088577271"",""0.00401486549526453"""
"33,""2.64441436"",""1.49995172023773"",""0.00401492835953832"""
"34,""2.7270474"",""1.49995243549347"",""0.0040154941380024"""
"35,""2.80969064"",""1.49995112419128"",""0.00401542754843831"""
"36,""2.89234016"",""1.4999520778656"",""0.00401588436216116"""
