V,I (mA),I
-4,-0.03001,-30.01
-3.98,-0.03,-30
-3.96,-0.03,-30
-3.94,-0.03,-30
-3.92,-0.03,-30
-3.8995,-0.03,-30
-3.8795,-0.03,-30
-3.8595,-0.03,-30
-3.8395,-0.03,-30
-3.8195,-0.03,-30
-3.7995,-0.03,-30
-3.7795,-0.03,-30
-3.7595,-0.03,-30
-3.7395,-0.03,-30
-3.7195,-0.03,-30
-3.699,-0.0296,-29.6
-3.679,-0.02921,-29.21
-3.659,-0.02881,-28.81
-3.639,-0.02845,-28.45
-3.619,-0.02808,-28.08
-3.599,-0.02771,-27.71
-3.579,-0.02736,-27.36
-3.559,-0.02702,-27.02
-3.539,-0.02667,-26.67
-3.519,-0.02634,-26.34
-3.4985,-0.026,-26
-3.4785,-0.02568,-25.68
-3.4585,-0.02535,-25.35
-3.4385,-0.02504,-25.04
-3.4185,-0.02473,-24.73
-3.3985,-0.02441,-24.41
-3.3785,-0.02411,-24.11
-3.3585,-0.02381,-23.81
-3.3385,-0.02351,-23.51
-3.3185,-0.02322,-23.22
-3.298,-0.02292,-22.92
-3.278,-0.02264,-22.64
-3.258,-0.02235,-22.35
-3.238,-0.02207,-22.07
-3.218,-0.02179,-21.79
-3.198,-0.02151,-21.51
-3.178,-0.02124,-21.24
-3.158,-0.02097,-20.97
-3.138,-0.0207,-20.7
-3.118,-0.02044,-20.44
-3.0975,-0.02019,-20.19
-3.0775,-0.01993,-19.93
-3.0575,-0.01968,-19.68
-3.0375,-0.01943,-19.43
-3.0175,-0.01919,-19.19
-2.9975,-0.01894,-18.94
-2.9775,-0.0187,-18.7
-2.9575,-0.01846,-18.46
-2.9375,-0.01824,-18.24
-2.9175,-0.018,-18
-2.897,-0.01776,-17.76
-2.877,-0.01754,-17.54
-2.857,-0.01731,-17.31
-2.837,-0.01709,-17.09
-2.817,-0.01686,-16.86
-2.797,-0.01664,-16.64
-2.777,-0.01643,-16.43
-2.757,-0.01621,-16.21
